Database,File Location,Database Type,Extra Arguments,Identifier,Description,Data Source,Link
refgene,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,gene,-exonicsplicing -splicing_threshold 50,Refgene,RefGene,RefGene Gene Track,https://cgwb.nci.nih.gov/cgi-bin/hgTrackUi?hgsid=79902&c=chr21&g=refGene
ensgene,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,gene,-exonicsplicing -splicing_threshold 50,Ensembl,Ensembl gene database build 65,Ensembl Gene Track,http://genome.ucsc.edu/cgi-bin/hgTrackUi?hgsid=262093727&g=ensGene&hgTracksConfigPage=configure
generic,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,-genericdbfile hg19_PMOnly.txt,DDL_PM_111213,SURF and CFTR Polymorphism list downloaded from Sequence Pilot database 103013;File name: DDL SURF and CFTR Previously Reported SNVs VCF format Plus Strand PM only 011314,Observed in 5 gene panel,From DDL sent by Molly
generic,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,-genericdbfile hg19_WithoutPM.txt,SP|DDL_log_MA|SOP_CFTRdb_111213,SURF and CFTR Mutations/VUS downloaded from Sequence Pilot database 103013. This column also includes HGVS nomenclature for three intronic mutations (CFTR c.1679+1634A>G; CFTR c.3717+12191C>T and ABCA3 c.3863-98C>T)| SURF and CFTR Mutations/VUS present in DDL log and on CFTR MassARRAY Panel 110813 | SURF and CFTR Mutations/VUS present in SURF SOPs; CFTR1 Database (http://www.genet.sickkids.on.ca/app); CFTR2 Database (http://www.cftr2.org/) downloaded on 110713 File name: DDL SURF and CFTR Previously Reported SNVs VCF format Plus Strand WITHOUT PM 011314,Observed in 5 gene panel,From DDL sent by Molly
snp138,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,,snp138,dbSNP138 ID if variant in dbSNP138,snp138 from ANNOVAR,https://genome.ucsc.edu/cgi-bin/hgTables?hgsid=358633319&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp138
snp138,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,region,-colsWanted 22,dbSNP138_Allele,Allele of snp. Observed alleles for which frequency data are available,snp138 from ANNOVAR,https://genome.ucsc.edu/cgi-bin/hgTables?hgsid=358633319&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp138
snp138,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,region,-colsWanted 23,dbSNP138_AlleleCount,Allele numbers of snp. Count of chromosomes (2N) on which each allele was observed. Note: this is extrapolated by dbSNP from submitted frequencies and total sample 2N; and is not always an integer,snp138 from ANNOVAR,https://genome.ucsc.edu/cgi-bin/hgTables?hgsid=358633319&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp138
snp138,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,region,-colsWanted 24,dbSNP138_AlleleFrequency,Allele frequency of snp,snp138 from ANNOVAR,https://genome.ucsc.edu/cgi-bin/hgTables?hgsid=358633319&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp138
1000g2012apr_all,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,--maf 0,1000g2012Apr_AAF_all,Alternative Allele Frequency in 1000 genomes full project 2012 Apr release (minor allele could be reference or alternative allele).,Afalt_1000g2012Apr_all,http://www.1000genomes.org/data
1000g2012apr_eur,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,--maf 0,1000g2012Apr_AAF_eur,Alternative Allele Frequency of European Ancestry in 1000 genomes full project 2012 Apr release (minor allele could be reference or alternative allele).,Afalt_1000g2012Apr_eur,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2012apr_afr,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,--maf 0,1000g2012Apr_AAF_afr,Alternative Allele Frequency of African Ancestry in 1000 genomes full project 2012 Apr release (minor allele could be reference or alternative allele).,Afalt_1000g2012Apr_afr,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2012apr_amr,/mnt/clinical/ddl/NGS/Panel_Resources/annovar_db/,filter,--maf 0,1000g2012Apr_AAF_amr,Alternative Allele Frequency of Admixed American in 1000 genomes full project 2012 Apr release (minor allele could be reference or alternative allele).,Afalt_1000g2012Apr_amr,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
